Title,Company,Location,Salary,Type,Description,Link
les Assistant - M&S,WHSmith,Location not found,11.50 an hour,- Part-time,"<p></p>
<div>
 <div>
  <div>
   <div>
    <b>Sales Assistant - M&amp;S - Ludgate Circus - London</b><br> <br> Contract Type: Permanent<br> Working hours: Monday to Friday 6am to 1pm<br> <br> Our teams work hard to make customer and colleague journeys in life possible, we offer our amazing products to everyone on any of life’s journeys. We are particularly proud of the great partnerships we have with M&amp;S. <br> As a Sales Assistant you’ll provide exceptional customer service and work independently or as part of a team to deliver our fantastic store standards. We want you, our customers and our colleagues to be proud to share their journey with us. <br> <br> <b>What being a Sales Assistant is all about:</b>
    <ul>
     <li>Delivering exceptional customer service experience on the shop floor and at service points putting the customer before task every time.</li>
     <li>Delivering ‘best in town’ standards through presentation, availability and keeping the store clean and tidy.</li>
     <li>Having great product knowledge to sell and recommend our products and services to customers.</li>
     <li>Proactively engaging with customers to understand their needs and make recommendations.</li>
     <li>Working as part of a winning Team: pulling together, you can adapt to what can be a changing fast-paced environment.</li>
    </ul><br> <b> What our Stores would love to see:</b><br> Full training is provided for this role, but it would be great if you had the below skills:
    <ul>
     <li>Strong communication and listening skills.</li>
     <li>Great organisation skills plus strong attention to detail.</li>
     <li>A passion for providing great customer service.</li>
     <li>Ability to work as part of a team, supporting your colleagues and helping to deliver the daily activities.</li>
    </ul><br> <b> How we reward our teams:</b><br> We know you’ll work hard to make WHSmith a success and keep our customers happy, so as well as your salary, pension scheme, paid annual leave and employee discounts, we’ll reward you with a range of deals from retail partners that will help you save money and make memories, whether a delicious meal, an adventurous day out, or tickets to see the latest blockbuster.<br> <br> Whatever the future brings, our Employee Assistance Programme will support you with help and guidance for your wellbeing whether physical, mental or financial.<br> <br> WHSmith are proud to be an inclusive employer, we want our colleagues to feel welcome, and free to be themselves with us.
   </div><br>
  </div>
  <div>
   <p><b>Format of Business</b></p>
   <div>
    Concession
   </div>
  </div>
  <div>
   <p><b>Shift Pattern</b></p>
   <div>
    Flexible - Including nights
   </div>
  </div>
  <div>
   <p><b>Position Type</b></p>
   <div>
    Permanent
   </div>
  </div>
  <div>
   <p><b>Hours / Week</b></p>
   <div>
    32.5
   </div>
  </div>
  <div>
   <p><b>Full Time / Part Time</b></p>
   <div>
    Part Time
   </div>
  </div>
  <div>
   <p><b>Salary Up To</b></p>
   <div>
    £11.50
   </div>
  </div>
  <div>
   <p><b>County</b></p>
   <div>
    Central London
   </div>
  </div>
  <div>
   <p><b>Country</b></p>
   <div>
    UK
   </div>
  </div>
  <div>
   <p><b>Post Code</b></p>
   <div>
    EC4A 2AB
   </div>
  </div>
 </div>
</div>
<div></div>",https://uk.indeed.com/rc/clk?jk=51b680e14f79a8c0&bb=qmZ7z-0JjuO7vzO_2broaT_B6swndbP3jjaioVyVg4Zj1D8W39u6_pIXbgD4RnayReGMvwtwzC6H1cRdFCHN4aGA2jU5P-4g27SjVx4WFwzJxUmQfGRGIBya9b3bvK-1&xkcb=SoCt67M377CtlCwkhZ0KbzkdCdPP&fccid=e6d10f9c77816214&vjs=3
Retail Assistant,,Location not found,12.56 an hour,- Part-time,"<div>
 Location: Primark Wandsworth <br> Salary: £12.56<br> Employment type: Permanent / Temporary (duration)<br> Job type: Full / Part Time<br> Contracted hours: part time shifts<br> Shift pattern: Varied shifts including mornings; afternoons; evenings and weekends – all will be discussed at interview<br> <br> <b>Because the opportunities are endless </b><br> <br> Here at Primark, we love to do things our way. Because we help our customers keep up with high fashion at affordable prices. We do everything with passion, high standards and care around here. And if that sounds like you, join us as a Retail Assistant.<br> <br> <b>Because you matter</b><br> <br> People are at the heart of what we do, so it’s essential that we provide you with the right environment to perform at your very best. We offer benefits that put you first:<br>
 <ul>
  <li>Salary: We offer a competitive salary</li>
  <li>Balance: Enjoy flexibility with accommodating shifts</li>
  <li>Pension: Secure your future with our generous pension scheme</li>
  <li>Discounts: Use your in-store employee discount across our fabulous range</li>
  <li>Support: Explore our well-being initiatives and employee assistance programme. As well as mentorship to get the most out of your career</li>
  <li>Holiday: Enjoy generous holidays, based on your hours</li>
  <li>Development: Career pathways are available to help you reach the next level</li>
 </ul><br> <b> What will I be doing? </b><br> <br> As a Retail Assistant, you’ll be making our customer’s day, every day. Here’s what this looks like in action:<br>
 <ul>
  <li>Providing customers with an amazing experience as you help them with things like sizes or styles, purchases, or returns</li>
  <li>Setting up a good-looking shop floor with full shelves, tidy fitting rooms and all the latest fashions, as well as keeping a tidy and well-organised stockroom</li>
  <li>Delivering a fast, friendly, efficient experience at till points, processing queries, voids, and returns.</li>
  <li>Receiving, unpacking, and checking off new deliveries. Getting our products on to the shop floor and ensuring they’re all correctly priced - all while making sure everything meets our high standards</li>
 </ul><br> <b> Who you are: </b><br> <br> We love to delight our customers with amazing in store experiences and that starts with you! Here’s what we need:<br>
 <ul>
  <li>You’re passionate about people and creating those amazing experiences</li>
  <li>You’re honest, a strong communicator who can also listen, share ideas and get involved where needed</li>
  <li>You’ve got good organisational skills and attention to detail</li>
  <li>You’re a team player with high levels of motivation, a positive attitude and willingness to learn</li>
  <li>You’re interested in fashion and the latest looks</li>
 </ul><br> To join us, apply today!<br> <br> <i>Our fashion isn’t one-size-fits-all and neither is our culture. We strive to create an inclusive and diverse workplace where people can be themselves, have the same opportunities and thrive together. If you require extra support at any stage of the selection process, please get in touch with our team at </i><i>removingbarriers@primark.co.uk </i><br> <br> #LI-DNI
</div>",https://uk.indeed.com/rc/clk?jk=e74394492da39091&bb=qmZ7z-0JjuO7vzO_2broab3P5DGxQg9hvR3EdrvP2Pg5eLHxS8H8Guws0_8sJkuoMriNSJLlJ6ugyINs0N8oLa39ExH3BT-rzIn-ta2KhGzIzpWw8jhuNJaaRwjsA7GH&xkcb=SoAw67M377CtlCwkhZ0JbzkdCdPP&fccid=b1a1dea659b6cd13&vjs=3
Store Assistant,Aldi,Location not found,13.65 - 13.95 an hour,- Permanent,"At Aldi, you'll never find yourself bored and twiddling your thumbs on the till as a Store Assistant. In fact, time will fly by. <br><br> You'll do everything from checking off deliveries to dealing with enquiries or ensuring that the shelves are fully stocked with well-presented products. And, of course, you'll provide excellent customer service at all times by attending to customer needs in a prompt and friendly way. It's a really fast-paced environment, and everyone understands exactly what needs to happen to make their store a success – and gets on with doing it. There's a real family feel here, and we all pitch in as part of a close-knit team.",https://uk.indeed.com/rc/clk?jk=2306647d25dc2870&bb=qmZ7z-0JjuO7vzO_2broaSrKQzz61kwDf93QTstYPgUDzRuCfcW2AU64a62Ln8niW6UPho1VepoP-RHuVY6qag2Sn_fpZ9mPjANPK21_0hKgw-loHIBbOYMHLnKEHUX_&xkcb=SoCE67M377CtlCwkhZ0IbzkdCdPP&fccid=419801c05606d650&vjs=3
Part Time Customer Service Concierge,London City Airport,Location not found,"14,616 - 15,307 a year",- Part-time,"<div>
 <p><b>Main Purpose of the Job:</b></p>
 <p>At London City Airport our customers are at the heart of everything we do. To become a Customer Service Concierge you‘ll be passionate about creating the best experience for all our customers as they make their way through our airport, weather travelling on business or going on holiday. Throughout your shift, you’ll be greeting people as soon as they walk through the doors and be there for them until the board the plane. You will have one of the most important jobs at the airport making our customers feel safe and looked after throughout their journey with us.</p>
 <p>Whether ensuing customers know where to check-in, answering their questions in our brand-new departure lounge or helping them with immigration or getting their bags, yours will be the friendly face that offers our customer a warm welcome or friendly wave goodbye. You’ll be alert to everything that's going on around you, ready to spot potential threats and issues, responding rapidly if and when you do using your new skills gained throughout your training.</p>
 <p>The qualities we look for are more common than you might imagine. You don’t need customer service experience. But we do look for friendly people who can spot when someone needs that extra helping hand, and who’s willing to give it too. Someone who will remain calm under pressure and guide and support our customers when needed.</p>
 <p>Once you’ve completed your training, you’ll know your shifts well in advance, so you can plan around them. Swaps are often possible, providing even greater flexibility, but it's important that you're available for all shifts on the pattern and be ready for some early starts and late nights.</p>
 <p></p>
 <p><b><br> What you will need, is:</b></p>
 <ul>
  <li>A warm, engaging personality and a positive, friendly approach.</li>
  <li>Great communication in both what you say and what you write.</li>
  <li>Confidence in talking to people you don’t know and helping them with their questions.</li>
  <li>Strong attention to detail.</li>
  <li>To stay clam under pressure.</li>
  <li>An ability to work unsupervised and take accountability for the work you do.</li>
  <li>Flexibility in the approach you take and the work you do.</li>
  <li>Fluency in written and spoken English – additional languages are a bonus.</li>
  <li>The physical fitness to cope with long periods of standing, bending and walking.</li>
 </ul>
 <p></p>
 <p><b><br> You must also be:</b></p>
 <ul>
  <li>Able to provide 5 years of references, with the right to work in the UK.</li>
  <li>Happy to complete our pre-employment medical and criminal record check.</li>
 </ul>
 <p></p>
 <p><b><br> Hours of Work:</b></p>
 <p>20 hours per week on a rotating roster that starts as early as 04:30am and finishes as late as 10:30pm</p>
 <p>Includes weekends and public holidays. Flexibility required.</p>
 <p><b> Please see roster pattern attached to this advert - you would need to be able to work all shifts/days within the roster pattern shown. Please only apply for this role if you can commit to the roster and working hours.</b></p>
 <p></p>
 <p><b><br> Benefits:</b></p>
 <ul>
  <li>Free uniform</li>
  <li>Free onsite parking</li>
  <li>Access to discounted Private Medical Insurance for you and immediate family</li>
  <li>Medicash Cash plan</li>
  <li>Enrolment into company AE pension scheme</li>
  <li>Access to Salary sacrifice pension scheme</li>
  <li>Bereavement Counselling</li>
  <li>Cycle 2 Work salary sacrifice scheme</li>
  <li>Hastee Pay Advances</li>
  <li>20 Days Annual leave (increasing by 1 day each year for the first 5 years until you reach 25 days)</li>
  <li>LCY Central discount website</li>
  <li>Annual Bonus based on increase in passengers each year</li>
  <li>Annual Season Ticket Loan</li>
  <li>On site Physiotherapist</li>
  <li>Discounted Gym Membership at many local facilities</li>
  <li>Staff discounts at most of retailers on site &amp; some local restaurants &amp; hotels</li>
  <li>Holiday Buy scheme (Ability to purchase up to 1 weeks A/L per year)</li>
  <li>Access to Salary Sacrifice Car leasing Scheme</li>
 </ul>
 <p></p>
 <p><br> London City Airport is one of the largest private sector employment sites in the London Borough of Newham. We offer a wide range of interesting and challenging career opportunities for the local community.</p>
 <p>With over 2,000 employees here, working either directly for London City Airport Limited or for one of our concession partners, airlines, or other business partners on site, the scope for career satisfaction and progression is huge.</p>
 <p>London City Airport is an Inclusive Employer.<br> At London City Airport we respect and celebrate each other’s individual differences. We embrace all backgrounds and abilities of all team members and we work closely with our Inclusion Group A Voice for all to ensure we are an inclusive workplace.</p>
 <p>Please note that we only ask candidates to go through the necessary security checks (Criminal Record Checks or CRC) once a position has been offered. If you are approached by a third-party site offering to manage the process for you, please ignore it.<br> London City Airport Ltd is not currently delivering a Graduate Training Programme but we do run a Work Experience Programme. Please <b>click here</b> to find out more.</p>
</div>",https://uk.indeed.com/rc/clk?jk=b15d8c6dd4b2a519&bb=qmZ7z-0JjuO7vzO_2broaaUZf0I9rqLBGsC-wnkqA_9PNYlsrOBS4ZOs6ZF4vpRWAZmDzifIbwEPueG8bQu0bp6PUsWyIzrmVKlkU2SEoZKVMpVA31QvcQ2-vj-4bmt3&xkcb=SoAK67M377CtlCwkhZ0PbzkdCdPP&fccid=5f6db3931efb8ae7&vjs=3
Room Attendant,Four Seasons,Location not found,"34,000 a year",- Full-time,"<div>
 <p><b>About Four Seasons: </b></p>
 <p>Four Seasons is powered by our people. We are a collective of individuals who crave to become better, to push ourselves to new heights and to treat each other as we wish to be treated in return. Our team members around the world create amazing experiences for our guests, residents, and partners through a commitment to luxury with genuine heart. We know that the best way to enable our people to deliver these exceptional guest experiences is through a world-class employee experience and company culture. <br> <br> At Four Seasons, we believe in recognizing a familiar face, welcoming a new one and treating everyone we meet the way we would want to be treated ourselves. Whether you work with us, stay with us, live with us or discover with us, we believe our purpose is to create impressions that will stay with you for a lifetime. It comes from our belief that life is richer when we truly connect to the people and the world around us.</p>
 <p></p>
 <p><b>About the location: </b></p>Set in the heart of the City, overlooking Tower Bridge and the Tower of London, Ten Trinity Square is the starting point for discovering London’s historic past, alongside its exhilarating present. As impressive inside as out, this famous five-star hotel remains the centre of attention, as a new chapter begins in its history. This beautiful grade II listed building and former HQ of the Port of London Authority has 100 rooms, 41 residential apartments of which 31 units are in a FS run transient rental program, a stunning ballroom which has hosted the inaugural Reception of the United Nations, 5 meeting rooms, a stunning destination spa with 6 treatment rooms, hammam, steam, sauna and swimming and vitality pool, and a fantastic Food and Beverage offering including La Dame de Pic (French cuisine, 2*Michelin Star), Mei Ume (Chinese/ Japanese cuisine) and Rotunda (all day dinning, afternoon tea &amp; bar). 
 <p></p>
 <p><b>Four Seasons Hotel London at Ten Trinity Square is looking for a Room Attendant to join our team! </b></p>
 <p></p>
 <p><b>The Room Attendant role: </b></p>
 <p>The Room Attendant is an integral part of the Housekeeping Team who collectively is responsible for the cleanliness and attention to detail of the hotel. The Room Attendant services guest rooms, Hotel Residences and guest housekeeping requests and is responsible for the overall comfort level of our guests and should provide impeccable service at all times. This position will be filled on a casual /on call basis.</p>
 <p></p>
 <p><b>Just some of the benefits Four Seasons Hotel Ten Trinity Square employees enjoy: </b></p>
 <ul>
  <li><p>£34,000 package which includes Hotel service charge, and salary.</p></li>
  <li><p>40 hour working week</p></li>
  <li><p>Excellent Training and Career Development opportunities</p></li>
  <li><p>Up to 20 complimentary nights at any Four Seasons Hotels or Resort around the world with years of service.</p></li>
  <li><p>Free meals at Pepys while on duty including fruits, coffee/tea and fizzy drinks available throughout the day</p></li>
  <li><p>Up to 2 paid Wellness days per year!</p></li>
  <li><p>Holiday entitlement increases with years of service up to 33 days off</p></li>
  <li><p>Free Life Insurance while on duty.</p></li>
  <li><p>Bupa Dental and MediCash plan available.</p></li>
  <li><p>Opportunities to build a successful career with global potential</p></li>
  <li><p>Season Ticket Loan &amp; cycle to work scheme</p></li>
  <li><p>Free Uniform dry cleaning available</p></li>
  <li><p>Employee Experience: Annual Themed Employee Party and many social, charitable and sporting events throughout the year.</p></li>
  <li><p>Access to Wagestream– a salary advance benefit</p></li>
  <li><p>Employee Recognition Programmes</p></li>
  <li><p>&amp;many, many more surprises to discover!</p></li>
 </ul>
 <p></p>
 <p><b>We look forward to receiving your application!</b></p>
</div>
<p></p>",https://uk.indeed.com/rc/clk?jk=975eb5b228813c25&bb=qmZ7z-0JjuO7vzO_2broaQ8-MwXYCCSoUz6-0O80J3d-7iisF8DpU94T8PsS_E4eEpX9BpA_BFJXHS0x5drqSlbj6NeFFvoqkYoMjcwjVzQ1ibwK8gnpBA%3D%3D&xkcb=SoC-67M377CtlCwkhZ0ObzkdCdPP&fccid=9474516a9efc22f2&vjs=3
Cleaner,St Mungo's,Location not found,"28,019 - 28,782 a year",- Full-time,"<p></p>
<div>
 <p><b><i>Are you interested in working for a charity that makes a real difference to the lives of vulnerable adults?</i></b></p>
 <p>The Lewisham Assessment &amp; Recovery Centre is a busy, dynamic service providing accommodation for up to 51 people, many of whom have complex needs such as alcohol misuse, substance misuse, mental health issues and a history of offending.</p>
 <p>The purpose of this role is to ensure we provide a safe and healthy environment for our clients to live in. Duties will include maintaining the cleanliness of the communal areas, including kitchens or bathrooms, as well as supporting the team in cleaning clients’ rooms when they have moved out.</p>
 <p><b> About you</b></p>
 <p>Candidates will need to have good working knowledge of Health and Safety, a basic knowledge of IT and be comfortable working alone. You will possess effective communication skills, approach your work and clients in a non-judgemental way including those displaying challenging behaviour. You will be passionate about wanting to contribute to the space in the service and creating a psychologically informed environment (PIE), of which a big part is how the space looks and feels, ensuring it is as welcoming for our residents as possible.</p>
 <p><b> How to Apply </b></p>
 <p><b>How to apply</b></p>
 <p>To view the job description and guidance on completing your application form, please click on the ‘document’ tab on the advert page on our website.</p>
 <p>When you're ready to apply click the ‘Apply Now’ Button to start your online application form.</p>
 <p><b> Closing Date: 10am on 23 October 2024</b></p>
 <p><b> Interview and assessment date: TBC</b></p>
 <p>Our purpose is to end homelessness and rebuild lives. It drives everything that we do. For the past 55 years, we have been on the ground every day and every night, supporting people to recover from homelessness and advocating for change. We support around 28,000 people each year and our work means that more than 2,700 people have somewhere safe to stay each night.</p>
 <p>3 Thomas More Square, Tower Hill, London, E1W 1YW<br> Telephone: 02038566000</p>
</div>",https://uk.indeed.com/rc/clk?jk=648f0025de32c3f7&bb=qmZ7z-0JjuO7vzO_2broaSrKQzz61kwDm7elTWVe2yxEE5hKaXDgAi7-uUAkUoJFAiVMn9PDGD1CEmOkDy1GJi6MQGq0vo4K48vmO7-hoLxTsJb2qANHV7taODLS3404&xkcb=SoAj67M377CtlCwkhZ0NbzkdCdPP&fccid=5eb82a3b54bad798&vjs=3
Night Pk Assistant,Smyths Toys,Location not found,9.40 - 13.80 an hour,"- Part-time, Full-time, Fixed term contract","<p></p>
<div>
 <div>
  <div>
   <div>
    <ul></ul>
   </div>
   <p></p>
   <div>
    <p></p>
    <p><b>Smyths Toys Superstore are recruiting Temporary Night Pack Assistant!</b></p><br>
    <p></p>
    <p><b>Are you ambitious, hard working, energetic and reliable?</b></p><br>
    <p></p>
    <p><b>Smyths Toy Superstores is Europe's top toy retailer specialising in toys, software, outdoor and nursery products.</b></p><br>
    <p></p>
    <p><b>We are currently recruiting Temporary Night Pack Assistants*.</b></p><br>
    <p></p>
    <p><b>The role of Night Pack Assistant can be fun but also very demanding - we are looking for people who are passionate about detail, flexible with the hours and days that they can work and have ability to multitask.</b></p><br>
    <p></p>
    <p><b>Typically, our Night Pack Assistants start work when the Store is closed to customers with the main purpose of restocking the Store to prepare for trading the following day. Weekends are our busiest trading days so it is likely that you will be required to work on these days.</b></p><br>
    <p></p>
    <p><b>Rate of pay: This is a temporary contract, with a rate of pay £12.00 per hour for over 21 and £9.40 per hour for under 21. </b></p>
    <p><b>Rate of pay between the hours 22:00 and 7:00 are £13.80 per hour for over 21 and £10.81 per hour for under 21.</b></p><br>
    <p></p>
    <p><b>This is temporary contract.</b></p><br>
    <p></p>
    <p><b>Job types:contract;part-time; full-time</b></p><br>
    <p></p>
    <p><b>If you think you have what it takes to become part of Smyths Toys Superstores team please apply today.</b></p>
    <ul>
     <li>Retail merchandising experience is desirable but is not essential.</li>
    </ul><br>
    <p></p>
    <p><b>If you think you have what it takes to become part of the Smyths Toys Superstores team please apply today!</b></p><br>
    <p></p>
   </div>
  </div>
  <div>
   <div>
    <h2 class=""jobSectionHeader""><b> Pay Rate</b></h2>
   </div>
   <div>
    <p>Over 21: £12.00</p>
    <p>Under 21: £9.40</p>
   </div>
  </div>
 </div>
 <p>Smyths Toys is an Equal Opportunities Employer</p>
</div>",https://uk.indeed.com/rc/clk?jk=cf4b139b3b226d9c&bb=qmZ7z-0JjuO7vzO_2broaSrKQzz61kwD7EdjSOEcF5Oaxk42lBfhJJ4xy1y3uyr12Najw7mvz7tC7YZg0JF_fjMXiJKRfwCMp-ILBdQK3aOxf2s2OeTP78tUf0NdskIQ&xkcb=SoCX67M377CtlCwkhZ0MbzkdCdPP&fccid=c55b69d005ea6a91&vjs=3
Retail les Assistant,Krispy Kreme,Location not found,13.15 an hour,- Part-time,"<div>
 <p><b>Retail Sales Assistant</b></p>
 <p><b> Krispy Kreme Benefits: </b></p>
 <ul>
  <li><b>Pay: </b>Hourly pay, paid fortnightly</li>
  <li><b>Contract:</b> There are no zero-hour contracts, everyone receives holiday pay, which varies depending on hours worked, if eligible we will also enrol you in our pension and life assurance schemes.</li>
  <li><b>Training &amp; Development:</b> No experience needed. If you inspire customer wonder by spreading joy to all, then we will show you how to become a Krispy Kremer, while supporting you with future career development.</li>
  <li><b>Doughnuts:</b> Free Doughnuts to enjoy as well as hot drinks while on your break. Got something to celebrate, have a box on us to enjoy with family and friends.</li>
  <li><b>Uniform:</b> We all wear a Krispy Kreme logo T-shirt, and baseball cap, which we provide. You’ll need to be comfortable wearing and providing your own blue jeans and flat non-slip shoes to wear to work daily.</li>
  <li><b>Treat box </b>gives our employees access to freebies, great discounts both online and instore from well know retailors and supermarket and more.</li>
  <li><b>WeCare </b>looks<b> </b>after your wellbeing with a 24/7 UK-based online GP, mental health counselling, a get fit programme, legal and financial guidance, plus much more for you and your family.</li>
 </ul>
 <p><b>What will I do as a Retail Sales Assistant: </b></p>
 <p>You will work in a customer facing role, as part of a team. Together you will create a fun and safe environment, while maintaining Health and Safety standards. You will operate the till, stock, merchandise, recommend, box, and serve doughnuts, while also making both hot and cold beverages as requested by customers.</p>
 <p><b>What we’re looking for in a Retail Sales Assistant: </b></p>
 <ul>
  <li>Flexibility to work shifts 30 minutes either side of store opening times, for setting up or closing of duties.</li>
  <li>Excellent availability to work between Monday to Sunday</li>
  <li>Customer focused, team players, who are looking to master their craft, while not taking themselves too seriously</li>
  <li>Excellent work ethic, reliability, coachability and a positive attitude</li>
 </ul>
 <p><b>About Krispy Kreme: </b></p>
 <p><b>Our People: </b></p>
 <p>We embrace diversity within our teams, so whether you’re a foodie, drink lover, sport enthusiast, gym bunny, movie buff, history geek, gamer, music fan, book worm, none of the above or all the above, you’ll find a friend here!</p>
 <p><b> Our Doughnuts: </b>We're famous for our amazing doughnuts, but did you know that every Krispy Kreme doughnut is handmade, decorated and delivered fresh daily by one of our awesome team members?</p>
 <p><b>Culture:</b> Our culture is created through our leadership mix, of which there are a dozen (naturally!): <i>Check out our careers page for more information on our Krispy Kreme Culture </i></p>
 <p><b>Love our planet:</b> Our beautiful, natural world gives us our sugar, cocoa, eggs, milk, coffee, and so much more. Protecting and preserving it is vitally important to us. So, we’re constantly working to reduce our environmental impact and become more sustainable in all we do. <i>Check out our Social Responsibility page for more information.</i></p>
 <p></p>
 <p><b><br> Doughnut wait apply today!</b></p>
</div>",https://uk.indeed.com/rc/clk?jk=f6610caf46f8af9b&bb=qmZ7z-0JjuO7vzO_2broadgJT9voqUJ10pecDL6qwuwgF6l3aU2IMKqQA1wuzQ_2X0egYW15Jif0A5IG5sbaWaGV_qiKbxJEFPnGP1Y3p9MpduK1HbnNtMZY32Oxei0Q&xkcb=SoB-67M377CtlCwkhZ0DbzkdCdPP&fccid=c35e48a915599698&vjs=3
Front Desk Intern (6 Months Fixed Term),Four Seasons,Location not found,"33,700 a year",- Full-time,"<div>
 <p><b>About Four Seasons: </b></p>
 <p>Four Seasons is powered by our people. We are a collective of individuals who crave to become better, to push ourselves to new heights and to treat each other as we wish to be treated in return. Our team members around the world create amazing experiences for our guests, residents, and partners through a commitment to luxury with genuine heart. We know that the best way to enable our people to deliver these exceptional guest experiences is through a world-class employee experience and company culture. <br> <br> At Four Seasons, we believe in recognizing a familiar face, welcoming a new one and treating everyone we meet the way we would want to be treated ourselves. Whether you work with us, stay with us, live with us or discover with us, we believe our purpose is to create impressions that will stay with you for a lifetime. It comes from our belief that life is richer when we truly connect to the people and the world around us.</p>
 <p></p>
 <p><b>About the location: </b></p>Set in the heart of the City, overlooking Tower Bridge and the Tower of London, Ten Trinity Square is the starting point for discovering London’s historic past, alongside its exhilarating present. As impressive inside as out, this famous five-star hotel remains the centre of attention, as a new chapter begins in its history. This beautiful grade II listed building and former HQ of the Port of London Authority has 100 rooms, 41 residential apartments of which 31 units are in a FS run transient rental program, a stunning ballroom which has hosted the inaugural Reception of the United Nations, 5 meeting rooms, a stunning destination spa with 6 treatment rooms, hammam, steam, sauna and swimming and vitality pool, and a fantastic Food and Beverage offering including La Dame de Pic (French cuisine, 2*Michelin Star), Mei Ume (Chinese/ Japanese cuisine) and Rotunda (all day dinning, afternoon tea &amp; bar). 
 <p></p>
 <p>Four Seasons Hotel London at Ten Trinity Square is looking for a <b>Front Desk Intern </b>to join our team on a 6-month fixed term contract!</p>
 <p></p>
 <p><b>The Intern role: </b></p>
 <p>The Front Desk team are central part of Front Office whose main objective is to ensure our guests have a smooth arrival and departure experience. As the first and last impression of the Hotel, this high-profile department carries a special responsibility. The reception is also the natural place where guests direct comments, questions, suggestions and concerns.</p>
 <p></p>
 <p><b>Just some of the benefits Four Seasons Hotel Ten Trinity Square employees enjoy: </b></p>
 <ul>
  <li><p>£33,700 package which includes Hotel service charge, and salary.</p></li>
  <li><p>40 hour working week</p></li>
  <li><p>Excellent Training and Career Development opportunities</p></li>
  <li><p>Free meals at Pepys while on duty including fruits, coffee/tea and fizzy drinks available throughout the day</p></li>
  <li><p>Holiday entitlement increases with years of service up to 33 days off</p></li>
  <li><p>Free Life Insurance while on duty.</p></li>
  <li><p>Opportunities to build a successful career with global potential</p></li>
  <li><p>Free Uniform dry cleaning available</p></li>
  <li><p>Employee Experience: Annual Themed Employee Party and many social, charitable and sporting events throughout the year.</p></li>
  <li><p>Access to Wagestream– a salary advance benefit</p></li>
  <li><p>Employee Recognition Programmes</p></li>
  <li><p>&amp;many, many more surprises to discover!</p></li>
 </ul>
 <p></p>
 <p><b>We look forward to receiving your application!</b></p>
</div>
<p></p>",https://uk.indeed.com/rc/clk?jk=5344326527ac4e25&bb=qmZ7z-0JjuO7vzO_2broaXxTQlz2uXjg4trPygd2hxwTtZzMEAZgmDD9c5OpcJchr61bvr21yHQ4tIIgInLDIjkDJNsx3k9EKRr-a9d-txWi1nC4IdgMBg%3D%3D&xkcb=SoDK67M377CtlCwkhZ0CbzkdCdPP&fccid=9474516a9efc22f2&vjs=3
Hotel Team Member - Part Time,Travelodge,Location not found,11.44 an hour,- Part-time,"<p></p>
<div>
 <p>Come and join our Hotel Team at Travelodge London Lewisham as a Hotel Team Member on a Part Time contract, be part of a Fun, Energetic and family feel team with flexible working to suit everyone. No experience required for this role, we can coach and teach you everything you need to know!</p>
 <p></p>
 <p><br> Just some of the benefits:</p>
 <ul>
  <li>Fun friendly environment</li>
  <li>50% discount on rooms plus food and drink, as well as friends and family discount.</li>
  <li>£50 Travelodge voucher on each work anniversary</li>
  <li>Pension scheme totalling 8% (employer contribution 3%)</li>
  <li>Discounts off many high street retailers and mobile phone providers such as Vodafone.</li>
  <li>Opportunities to develop into Management roles through our ‘Aspire Programme’</li>
 </ul>
 <p></p>
 <p><br> We have regular rewards and recognition activities such as ‘FAB Fridays’ and ‘Housekeeping Heros’. Your job will be to work across all departments within the business from checking in customers through to cleaning the rooms to ensure our guests have a brilliant stay.</p>
 <p></p>
 <p><br> If you feel you would enjoy a<b> Hotel Team Member</b> role with us here at Travelodge then please click ‘apply’ now. We’d love to hear from you.</p>
</div>",https://uk.indeed.com/rc/clk?jk=1370a99234d0cfb1&bb=qmZ7z-0JjuO7vzO_2broaV-SWMAeDGetBCEV3KNa6EETMm3QyAGPDII087LLLeuswatCopfJVQWKRo_F9dwqSYhnWhSxN7f_-C0u-lyspPjLVlyi-vTz9E6-TSNE_Hm2&xkcb=SoBX67M377CtlCwkhZ0BbzkdCdPP&fccid=e982fa0b61fec944&vjs=3
